,Body,Tag
412,"I work in the IT/development sector in the United States. I recently did some consulting work for a client for a fixed fee.  While successful, I did go over my budget and was planning on eating the cost myself. However, the client graciously agreed to help offset the costs by offering me a discount on the services that they provide, which I personally am in need of. 

How should I represent this on the invoice I send the client? Should I represent this on the invoice at all? If so, how would I indicate that the payment would not be in cash?  The services I would consume would be for personal use, not part of my business.
","['invoices', 'consulting']"
413,"An old client asked me to work on a project which is kind of a social networking website. The idea is very good though. I know that guy and his company, he lives in EU while I am in Asia. We never met but I can say the idea seems good. My question is should I accept that 50%/50% partnership? This will be 2 months job for a beta and then we will see how it works. I will handle all the development here. And all the expenses on web hosting and scripts and plugin we will buy would be on him. 

We signed a contract and exchanged using email. He owns the domains and hosting etc. Basically we would be interesting in selling it then to some big companies or big people if all goes well.  

How can I evaluate whether or not a partnership in a Social Networking Project is a good idea?
","['legal', 'remote']"
414,"I have been freelance consulting for only a short while (about 6 months) and things have been going great so far.  Lately, I've been getting calls from recruiters and networking referrals to various job opportunities, some of which seem like a good fit for my skill set.  

Is there a tactful and effective way to convert these job opportunities into consulting gigs?  I don't want to misrepresent myself and go on a job interview when I really want a consulting relationship, but I don't want to pass by a potential opportunity either.  Have others had luck doing this in the past?
",['consulting']
415,"I agreed to do icon and screenshot work for a company who makes apps for a payment. Except I was kinda stupid for not backing up myself with a contract or sending previews instead of the actual design files. The payment we agreed on is on a per week basis. I've done a lot of stuff already, but still have a lot of work in the coming days. Is it still not too late to suddenly send previews instead and mention that I will need a payment before releasing the actual files? I'm to be paid today, but have nothing to back me up in case they say ""we can't pay you"" or something horrific like that. I think I should send the client a message about this, but not sure what to say exactly. I hope I can still do something to fix this. Help! 
",['design']
416,"I have always wondered that people who outsource their work, meaning pay someone here or someone in another country. Do their clients need to know that it was outsourced even if they take a look at it work themselves and work with others who they have outsourced to make sure that work is of the quality they expected. 
",['outsourcing']
417,"I have been working as an IT Freelancer (Self-Employed) for some years now. The hourly rate for my first larger Job was a suggestion from my client, and over the years it evolved by aligning with the rate of other freelancers.

What I miss from time to time, especially in salary negotiations, is kind of a formula / system to exactly explain to my customer why I charge what I charge. So I started to develop something. 

My current calculation is based on an Entrepreneurs Salary (based on what I could earn as an employee) plus Healthcare/Social Insurance, Taxes and Operating cost (Hardware, Tax Counsel, ...).

This, I compare to the work hours per year based on how many hours I would work as an regular employee minus the time I need to invest for administrative Stuff, Planning and aquiring new jobs in order to get a hourly rate equal to regular employment.

What I miss in my calculation is Risk. There are certain risks that i just won´t have as an employee. (Especially in Austria where I live you are secured against almost everything as an employee - be it a longer leave due to illness or accident, or if your employer declares bankruptcy) 

Right now, the difference between my hourly rate and the calculation to be even with an emoloyee (in the terms mentioned before) is 15%, what i see as my calculated risk.

I´ve already done some reasearch on the web, but I still can´t find any values I could compare my 15% against. So what I am looking for is a percent value (EDIT: or a range), backed by some credible source or professional experience for usual values for calculated risk. Preferably from some smaller company in IT, but for starters, any credible value will do as I don´t have anything to compare mine to. Perfect, of course, would be a credible value from another freelancer, but I´m not sure if that´s realistic to ask for.
","['pay-rate', 'price-per-hour']"
418,"I'm a freelancer, but I don't actually get very involved with programming or application development myself. I thought this would be an interesting question to put across to you as many of you are technically focused freelancers.

I recently hired a freelancer to build me a simple app in Ruby on Rails. To cut a long story short I've so far paid over £4,000 and they still want an outstanding £2,000+. My issue is, the site is not very good and the only features it has are, you can sign in and out as an admin, edit products and upload new products, with descriptions, images and price. The developers have told me I'll have to put all prices in pennies since they haven't sorted that issue out, for example I have to input 1000 for £10. 

I get the feeling what has been built could be put together remarkably quick and I'm wondering what your thoughts are as a community. I'm currently learning some Ruby on Rails myself and apart from the CSS they've done I could have done what they've done so far and quickly (I have no previous experience)

Thanks for you time.
","['freelance-websites', 'legal', 'payment-terms', 'price']"
419,"I am in a difficult situation currently. I am an experienced C++/Qt plus Embedded C/C++ developer. Together with a good friend I planned to open some development service business here in Germany. We are an extremely good match regarding our personality and regarding our technical skills!

Unfortunately he decided to incur serious private liabilities that make him inflexible in matters of time and money while I took the opposite path. I can not consider him a good partner for starting a business anymore. What a pitty.

I tought about starting a business on my own. But I don't think I should do this without one or two people that complete my personal and professional profile in a way that allows serious and reliable development and business operations. I think I really have valuable and essential strengths but also some weaknesses that do not make me a real good ""lone wolf"" but a good team member.

I know there are a lot of freelancer websites out there. But I should find people based on their talents (if possible in Germany; however I worked in an international environment for years so this is not essential).

My questions: 
What is the best way to find such people? Are there any popular freelancer/start-up web services that include systematical team building? Any concrete suggestions how to proceed?
","['freelance-websites', 'group-freelancing', 'programmer', 'working-from-home', 'germany']"
420,"time to time I get a client saying that they don't like the number of hours estimated. I always estimate a good breathing space to ensure that it doesn't result in a crappy product by rushing through it. Especially when they wait weeks without communicating with you and then coming back and say ""we asked around and other people say they can get it done faster, did you make a mistake?""

how do you deal with these types? Is it worth not doing the project?
",['billable-hours']
421,"Recently I've become really frustrated after moving from a regular office job to freelancing.

Since I am new to freelancing, I decided to do some low-quality, cheap jobs to get some stars in my profile and get some nice feedbacks. But now, I am just so exhausted by that chatty stuff that sometimes I feel that I am a professional linguist.

And after 2 customers who spent lots of money on the site, I suddenly came to the realization that I spend more time trying to realize what is actually the thing that the customer needs. 

Is this a normal thing? I'm a native English speaker, as well as the customer, but the communication on the tasks is such a disgrace.

Is this communication issue because I am doing very low-rated jobs, and due to the price policy the customers allow themselves not to handle their tasks in a proper, comprehensive way?  How can I improve this communication?
","['time-management', 'communication']"
422,"I'm doing Web development at a certain rate per hour. My client wants to chat with me almost every day and at the end of the month I end up with more than 20 hours of Skype call.

Sometimes (not always) we do visual tweaks during a call, but other than that I'm just on support with hosting company for problems or doing brain storming.

So far I charge the same amount but I wonder, should I charge on a different rate while on Skype call or not?
",['price-per-hour']
423,"I am new to freelancing, I have just started with a new account on websites such as freelancer.com, oDesk and elance. I see that a major percentage of projects getting closed without any freelancer choosen. Why is it so?
",['negotiation']
424,"I have a customer who is interested in pre purchasing development days from me. For instance 120 days over the space of a year for a fixed price. These days will cover numerous projects over the given time period.

Does anyone know of any contract templates I could use for such a scenario? or at least what the proper name for such an agreement would be?
","['fixed-price', 'software']"
425,"Working as a remote freelance under hourly basis, we tend to spend hours in requirement discussion with our clients. I wonder whether those hours should be counted while billing the charges, or would it be unfair to count those hours?
","['contracts', 'payment-terms', 'price-per-hour']"
426,"I have always thought that startups should swap some equity with other startups in order to lower the extreme risk they take on, similarly to what venture capital companies do by having portfolios.

Freelancers could also hedge risk by doing something similar.

If this is combined with, say an incubator or some social setting where freelancers help each other, risk hedging and helping your fellow freelancer would not only be nice, but profitable.

I have been looking for solutions in this space, and I have only found one, The Founders Club which is for startups where there is an equity exchange in a pool of other startups managed by VCs.

What I am asking for is other examples of equity exchange, rating systems connected to risk hedging or similar systems where risk hedging is done for startups or freelancers.
",['profit-share']
427,"I am a Freelance web designer and developer with a small team of freelancer. I had an office for last three years. But I felt that as a Freelancer I can do better work. So I hired various team members from different countries and states and closed my office. 

I developed a custom time tracking system by which I will be able to calculate my team's work time and give them salaries. Currently this is the start of the work with a freelance team. 

I am looking for some good ideas by which I will be able to keep an eye on my team and know better if they are really working. 

I have also various ideas but I guess talking with other freelancers will help me exploring some more unique ideas.
","['time-management', 'time-tracking', 'working-from-home']"
428,"As an experienced Software Developer in the United Kingdom, I am looking for a mature Freelance or Contracting website that caters mostly for United Kingdom based companies and remote-based IT workers (including software developers). I have looked at People Per Hour (which seems to have a UK base) - but the user base seems relatively small and the projects of poor quality. So I'm hoping to find other oDesk / Elance style sites, but with a UK focus (hopefully with better quality and more available projects than People Per Hour).

I have a specific need to work from home (not a choice or something that I just feel like doing) - thus the need to be remote-based (with occasional visits to the client if needed). I have tried sites like oDesk before, but I've been stung there before by companies who lied to me regarding the nature of how they run their business and what they really wanted me to do - something that would probably have been easier to detect if I'd had the opportunity to meet them face-to-face when needed. I thus want to target clients who are based in the UK and are happy to use remote based IT workers.

(I know about remote freelancing sites like oDesk, Elance, Freelancer.com, Guru etc. None of those sites seem to match the criteria I've established above.)
","['freelance-websites', 'uk', 'programmer', 'working-from-home', 'information-technology']"
429,"I am a freelancer front-end web developer based in India. I have worked with clients in Canada, US and India. I have been freelancing full-time since the past three months and the projects are getting bigger with each client. Timelines have increased from 2-3 weeks to 1-2 months. I have also been getting graphic and other related work done from other freelancers who I pay on a project basis. In general things seem to be going upswing.

Recently I have decided to start a separate account for my business and somebody asked me whether I was a business entity or just an individual.

What are the benefits of becoming a business entity? How do I go about setting this up in India?
",['business-plan']
430,"I have a prospect with both an idea and an existing customer of theirs who want to pay for this idea to be implemented.

The customer want to pay only when the implementation is complete. My prospect has separate investors that will fund the implementation.

The prospect wants to know how much I will charge for the implementation so that he knows how much to ask the investors for. Before I can estimate reliably I need to work with the prospect to develop an implementation plan.

This planning work will take time that I want to charge for. The prospect doesn't have enough money to pay me until the investment.

I want to make sure I am paid for the planning.

How can I resolve this?
","['contracts', 'price', 'design']"
431,"I am doing some cold calling and I had some interest with a few prospects. I sent them some of my previous work and have yet to hear back from them. Mind you, it's only been a couple days. I want to call them and thought about our previous conversation. 

I don't want to come off as desperate but I do want to keep the interest/excitement up. Am I over-thinking calling too soon or is it smarter to give them a few days?
",['attracting-clients']
432,"I don't know if I made a mistake on giving my client my personal WhatsApp number. Now whenever he has something to say about the service I delivered, he contacts me by that channel because he knows I'm always there. 

I consider WA to be a good tool for keeping my client updated about small maintainance and changes but how do I tell him politely about my ""office hours"" which I didn't specified in the business contract.
","['client-support', 'communication']"
433,"We are about to take a job developing an app for a client, and are concerned with the wording in their work contract.

To us, it seems that by signing this, we grant the client all the rights to our previous works, and any kind of unique feature that we come up with (example if we had come up with the hamburger menu on iPhone apps), then the company would own the rights and we would have never been able to use it in another app.

Are we wrong? Is this pretty standard?

(B) Background Technology.  Contractor will disclose any Background Technology that Contractor proposes to use or incorporate in connection with performance of its Services to Company. If Contractor discloses no Background Technology, Contractor warrants that it will not use Background Technology or incorporate it into Work Product provided pursuant thereto.    

(C) License to Background Technology. Contractor hereby automatically grants to Company a non-exclusive, perpetual, fully-paid and royalty-free, irrevocable and world-wide right, with rights to sublicense through multiple levels of sublicensees, to reproduce, make derivative works of, distribute, publicly perform, and publicly display in any form or medium, whether now known or later developed, make, have made, use, sell, import, offer for sale, and exercise any and all present or future rights in the Background Technology incorporated or used in Work Product.     

(D) Ownership of Work Product and Intellectual Property.  Contractor agrees that the Work Product is work made for hire. If any Work Product does not qualify as work made for hire, Contractor agrees that, the Work Product, including without limitation all Intellectual Property Rights in the Work Product, will be and is assigned to Company. Except as set forth below, Contractor retains no rights to use, and agrees not to challenge the validity of Company’s ownership in, such Intellectual Property Rights. Contractor hereby waives any moral rights, rights of paternity, integrity, disclosure and withdrawal or inalienable rights under applicable law in and to the Work Product.    

(E) License to or Waiver of Other Rights. If Contractor has any right to the Work Product, including without limitation any Intellectual Property Right, that cannot be assigned to Company by Contractor, Contractor hereby automatically unconditionally and irrevocably grants to Company during the term of such rights, an exclusive, even as to Contractor, irrevocable, perpetual, worldwide, fully paid and royalty-free license to such rights, with rights to sublicense through multiple levels of sublicensees, to reproduce, make derivative works of, distribute, publicly perform and publicly display in any form or medium, whether now known or later developed, make, use, sell, import, offer for sale and exercise any and all such rights.  If Contractor has any rights to such Work Product that cannot be assigned or licensed, Contractor hereby automatically unconditionally and irrevocably waives the enforcement of such rights, and all claims and causes of action of any kind against Company or related to Company’s customers, with respect to such rights, and agrees, at Company’s request and expense, to consent to and join in any action to enforce such rights.
","['contracts', 'contract-to-hire']"
434,"I work for a custom wine cellar company and have been their one and only designer for a year and half now. The owner used to do the design, but you can't run a company sitting behind a mouse designing all day, so he got me. 

I have a degree that I learned in AutoCAD. I never got to use it, and when I found this company, the owner asked me if I knew SketchUp, which is what we use. I learned the program, and started doing small designs for $13.50 per hour and was quickly moved up to $15 per hour. My boss told me not long after that he was already thinking about my next raise; he didn’t know when it would be or how much but just wanted me to know it was on his mind. That was about a year ago. He has since then told me more than once that my list of responsibilities has grown more than he ever intended, and he was please with my work. 

Now they have brought up the idea of paying me by the designs that sell and taking an hourly cut or being independent altogether, requiring me to do a 1099, which is fine with me. I have thought to request a minimum for each job so I know if a design sells, I am guaranteed at least that much. 

As of now, I take a design request form. I create a SKP file for the dealer and home owner or business and create the cellar they have dictated with our cabinet options. Sometimes I am given free range and have done quite well. They have said they would like to pay me a percentage of each job that sells but that is hard to get income in mind when we may sell one cellar a week or we may sell six and they can range from $3000 up to $45K. The average, I suppose, is around $7 to $10k. 

We have a custom wood shop with about 20 employees that get paid too. I create  3D design presentations for our dealers to take to their customers. The design comes back for at least one revision to tweak something normally. Once we sell it, we take a 50% deposit, and I create a 2D design with measurement of the room and all wine racks for the dealer/home owner to sign off on. This ensures the racks fit. 

That same document I then pair with a cover sheet and very detailed component list for the shop to create the cellar. We then ship freight, UPS, or maybe even have the customer come pick it up if they are close enough and so choose. 

Since I was hired, they have purchased a $135k dollar CNC machine and several other large saws and sanders. The money is obviously coming in. He has even hired more shop labor since I came on, maybe four or five people. 

We state that we require a $50 design fee on our request form, but it isn't enforced, and it is just hidden in the final price (should that be mine or is that small potatoes for what I should be concerned with). 

I act as a designer, office help when needed, and have for a while now been dealing with our lead dealers directly and any questions about a design or quote usually comes back to me.   

So all that said, how do I determine what numbers to sit down with? How do I determine how much to ask for and what's fair? How do I determine the minimum I should ask for?
",['payment-terms']
435,"I recently had a conversation with a lead that could give me the opportunity to do some responsive web work to an already designed site. My question is what is the best way to approach gaining access to the site? I know the client would grant me access, but I am talking about obtaining access from the old designer of the site. Are there any things I need to look out for?
",['small-projects']
436,"I agreed with a customer to import data from excel files and build a report with them. Since it was not a big project I did not charge too much. I also asked for an annual fee for bug fixing and maintenance.

As in the boiling frog story, the customer asked for little changes now and then (the frog is me). After more than a year I realized that I'd built a sort of ERP, where importing excel data was used only once to avoid the initial manual data entry phase.

In order to get the report, I had implemented (for free) a lot of business logic and many statistical calculations just to have a ""correct"" model (bespoke to the customer).

I'd like to give to my customer a new version of the contract I use for ERP programs (and not for import/export utilities as I did with him), with higher prices for the initial software cost, annual maintenance and other contract conditions.

The project is nearly completed. How can I tell all of this to the customer? I'm afraid he could reply ""Hey, we have agreed to this price, I'll pay you only that. The changes you made are part of annual maintanence after all"". And as I managed the things he wouldn't be completely wrong. I'd like just to try to recover the situation if possible.

Thanks for your help.

Update - 7th July 2017

I followed the advise to list all the extra features, but the customer kept changing point of view just to be right whatever I said. After sending him a copy of old e-mails to show how his mind (hem...) was not serving him well, he started to say he has an intellectual property on the calculations (it's a weighted average that I suggest to use...).

I offered him the option to pay me nothing more, keeping the part of software he payed, but he had to delete my software (the part not payed) otherwise he was infringing my copyright. I sent also a license agreement. He never answered.

After that, I talk with a lawyer, a friend of mine, who offered to send him an order for payment just to unblock the situation. After a few days he asked if he had to talk to his lawyer or we could find an agreement. I offer the possibility to an agreement.

He told me he wanted to wait for a change in the law since maybe my software (not payed) could be useless for him after that. I tried to let him understand that I worked for that software and the fact he had to pay me had nothing to do with the fact that law can change.

After more than 6 months the law eventually changed and he needed no more my unpaid software... but he don't want to delete it neither.

Nearly a year has passed since that time. He even said to me that that piece of software could be helpful for him even with change in the law, I just have to fix bugs before he can pay... (obviously I don't trust him anymore).

I'm upset and annoyed. I don't know if the story will end in some other way. For sure I learned the lesson. In case of news I will update this post. I think it can be of help to others, just as an example not to follow.
",['contracts']
437,"I'm just starting out on my own as a web design &amp; development start-up and I'm seeking advice on how to propose design concepts to my clients. 

Currently I have a series of questions I ask them which I use to gather, among other things:


Main pages &amp; features they're expecting
Language &amp; tone of the website
The website's target audience
Examples of websites they find particularly appealing and why


After I've gathered this information, I'm considering creating a sketch of sorts using Visio which would use placeholder text and generic images to give my clients an idea of what the page structure and element placement would look like. Very similar to this.

I've been told in the past however that these types of generic sketches can confuse most clients and that they have a hard time envisioning the design from these sketches. Ideally I'd prefer not to have to create a fully styled mock-up with real images and the whole nine yards as that can take quite a bit of time in and of itself.

Can anyone offer any advice on techniques they've used or heard of in regards to proposing initial design concepts to their clients?
","['freelance-websites', 'design']"
438,"I live in Europe, while my clients are mostly from US. Thus, the smallest timezone difference between me and my clients is -4hours, the biggest being -9hours. Yet, I also have a customer in Asia, giving me a +4hours customer. Scheduling calls starts to be a bit painful.

My method is to have 2 days a week marked as call-possible-days, and on those days I offer time slots when a client asks for a call or I need one.

Do you have any other tools/methods you use? This is not a ""wood under the toe nail"" problem, but definitely something that grinds my gears.
","['time-management', 'client-support', 'communication', 'remote']"
439,"I am redesigning my website to show my skills and experience, and I thought it would be a nice idea to have the logos of companies I have worked for and with (directly and indirectly). I'm wondering if I can use their logos without requiring their express consent.

I'm a software engineer who has done only permanent jobs (i.e. not contract) though did freelance as a journalist many years ago. I'd like to include the logos of the publications as well as these were big companies.

A couple of examples:


Commissioned on a freelance basis for Publications P1,P2,P3 (name published)
Employee of CompanySW who supply bespoke software solutions to BigCompanyAV, BigCompanyMS, BigCompanyJJ
Employee of CompanyEE working directly with engineers at CarCompanyV, CarCompanyF, and indirectly by supplying software to dealerships of CarCompanyK
Employee at CompanyC which supplies their flagship product to 100s of companies (this feels different to me than #2)


Can I also use products? For example at CompanySW we developed a component for FamousProductA. Can I put that on my site?
","['attracting-clients', 'marketing', 'branding']"
440,"I began doing freelance work before watching ""f*ck you, pay me."" by Mike Monteiro, and did not negotiate a contract when starting my first job. I will be sure to use a contract in the future, but I'm trying to decide whether or not I should negotiate one for this job, before receiving payment. (Luckily, the client is willing to pay)

I began developing an application where the client negotiated a pretty low price (it's my first production development gig, after all) in return for two promises:


He'd cooperate with any trouble due to bugs, so long as I fixed them quickly.
He'd help me sell the app for full price to 2-3 other business owners in his line of work.


Because of these terms, I think it's appropriate that:


I retain the rights to distribute the software, and sell him the rights to use, but not sell, the software indefinitely.
I retain the rights to sell any updates to the software in the future as I see fit.


Since we started this job without a contract, would it be appropriate for me to negotiate one before I hand over a copy of the product?


I'm not worried that the business owner will sell (if he knew how to) or distribute the software.
I'm not worried that I won't be paid.


Is it too late to / should I negotiate a contract now? If not, how should I discuss this with the client?
",['contracts']
441,"Studying smartphone development from a book.
Since I don't have any real projects to showcase, is it normal to include projects I've done following the books I've read about development? 
Keep in mind that I changed all the names in my own version of the projects, including the look and feel, even the code to an extent.
",['portfolio']
442,"I have a client who is a small ISV about to release their first PC application. They are looking to me as the app developer for advice on the EULA to accompany the software. Is there a boilerplate starting point, which I can tune based on my knowledge of the application and the business? One goal is to minimize legal expenses.
","['legal', 'software', 'licensing']"
443,"Going to be freelancing as a web designer and web developer soon, creating websites for local businesses. I'm expecting to use a payment plan in which they pay a down payment of 50% to begin work, and they pay the remaining 50% after the website goes live. 

I will be charging fixed costs instead of an hourly rate, so how do I go about deciding what the cancellation fee should amount to at different points in the project? Do I just estimate the % of the total work that I have completed and bill them on that? This doesn't seem very set in stone and it is the reason why I ask. 
","['payment-terms', 'contract-cancellation']"
444,"Upcoming freelancer in web development here. I understand the steps necessary after the contract is signed, which simply includes commencing work and maintaining communication with the client. What I am still not clear on are all the steps between contacting a prospective client, and signing the contract. 

Do I gather information from their business and what they want and then run them a quote? What are the steps to take if they are okay with the quote and want to work with me? What is a job proposal and at what point does it come in? 
","['freelance-websites', 'proposal']"
445,"I have learned new skills and I want to apply for jobs, the question is how do I manage when writing a cover letter.how do I give them example? Even If I am contacted back. How do I tell them I don't have any previous projects. How do I satisfy and get the job.
","['attracting-clients', 'marketing', 'communication']"
446,"A friend of mine has put me in touch with one of his co-workers who wants a website for his business. He simply requested that we meet up in person the next day. I have no idea what to discuss during this meeting and in what order. Most of my knowledge of freelancing so far is of the stages to go through after the contract as been signed. 

I have absolutely no idea where to go with this meeting and what to talk about first. I know I need to cover things such as my process for making a website and what he needs so I can give him a quote, but I'm not sure in what order and in what fashion to proceed? 

A very detailed answer that outlines all the things I need to cover with this guy tomorrow would be so very much appreciated. I would also use this information in all my future interaction with clients. I'm panicking at the moment, and I really need this cleared up. 
","['client-support', 'evaluating-clients']"
447,"I'm starting out as a small web design and development business. I'd prefer that after I launch a site for a client, they then own and be responsible for the management and recurring payment of their domain name and hosting. 

I'm just curious how some of you handle this. Do you have them handle the sign up and registration of their own domain name and hosting through a provider of their own choosing,  and then just turn over the website files for them to deploy? Or do you assist them in getting a domain name and hosting setup and if so how do you go about making sure that they are the ones that receive support and billing notifications from the hosting provider after you've set it up for them? 

Any guidance or experience in this type of client interaction would be invaluable, thanks!
","['freelance-websites', 'client-support', 'billing']"
448,"I have been offered to develop a web application from scratch and have been offered 10% of the pie, if and when the project becomes profitable. 

I'm not sure if 10% is right, they say I will be the fifth partner. 

Is 10% about right in such situations? Where a technical guy develops from scratch? Can somebody point to any metrics I should consider?
","['contracts', 'payment-terms', 'pay-rate', 'price']"
449,"Diagnosing a washing machine I thought it was the belt\idler pulley. They were purchased and installed but did not solve the problem. I have come to understand that it may be the drum bushing, clutch, or transmission. The dolor amount of those items, installed, may come to close to the price of a new unit. I don't really want to get into changing any of those as it basically becomes a tear down.

Now my question is what to do about payment. I have been paid to fix it already, having left it in working order the night before. The next day with a nice heavy load in it, it wouldn't spin and melted the belt. I consider myself handy but this repair would near the scope of my ability. I am considering refunding half the bill(for time spent?) less the price of the parts I purchased and having them call a pro or get a new unit.

I am new to 'contracting' out my skills but have been doing rehab\repair work for years.

How do repairmen bill for time and money spent on something only then to find out it's un-fixable?
","['contracts', 'payments', 'contract-cancellation']"
450,"Many freelancers, including myself, calculate a man day as 8 hours of work. I've heard of stories that large companies count their work day as 6 productive hours for an individual programmer.

I know that other professions like a design or customer support can have 8 or 10 productive hours a day, but all programmers know what it means to achieve 6 productive hours a day (especially when coding nasty algorithm). 

Is there anyone around who is close to some executive in an company to confirm how many productive hours they count as ""one man day""?
",['productivity']
451,"I was hired for a small web development job by a client. The job was small and of less budget. After I finished the job and notified the client, he didn't replied for several days. This made me think he is planning to not pay for the job. After several days and multiple E-Mails client finally told me that he is not going to pay me giving some some vague reasons. Since the job is of small amount I can't opt for legal options which it will be more costly and troublesome.

But accidentally client forgot to change the cPanel login details and I can still login to the server. I have a few options I am considering:


Delete all the client data (that was created as part of the project) and move on.
Download the client data, delete it from server and ask client to pay (extra) to get his data back.


What do you people think? Is is unethical to do so? I tried to be professional but it was client who started unethical behaviour. He has left with no options.  How should I this situation
","['payment-terms', 'difficult-client']"
452,"I'm a rookie repairman. If I do something wrong, I'd expect to eat that cost. If I did what I think every other guy would do (a logical repair check list) to diagnose a machine, and then several purchased parts later, only to find that the unit is totaled, do I deserved to be paid for my time and the materials purchased?

I asked a similar question before and was left an interesting comment; someone asked whether I had quoted ""replacing the parts"" or ""fixing the unit"". Another answer was about the $25,000 Hammer Fix. Regarding that answer, if hitting it with a hammer doesn't work, who is ethically liable for the $25 hammer?
","['contracts', 'pay-rate']"
453,"So I know the minimum amount of money I have to earn in a week (weekly salary), I know the minimum hourly rate and I know how much hours I have to work in a week. 

But every now and then I am asked by old or new clients to do some quick things where hourly rate is usually 50% larger than the regular hourly rate. So it's smart way to have a daily buffer for these kinds of unplanned tasks. 

How do you plan such unplanned tasks? Do you plan them at all? Or when they come, you leave the current work aside and catch up with it tomorrow?

I was thinking to have 1 or 2 hours a day aside for such tasks. If they come, I can do them. If they don't come, I can either work that time or take a rest. But of course, in the other 6 hours I have to be so productive to earn my weekly salary (at least).

EDIT

Since being a family man with kids, working over nights is not really a solution. I wake up early and go to bed around 10PM and try to spend quality time with kids when I finish my day work. 
",['time-management']
454,"I'm looking to get some extra work and start my own I.T support business for home users only.

Examples of work:
- Working on computers in front of the client
- Clients drop off computers, I fix them, they collect them
- Remote work (client will be able to see everything I do)

I'm aware with any business you have to protect yourself. Below are a few issues I one day expect to come across and need to know how to protect myself. 

""You've deleted some of my files"" - I haven't but I'm likely to get accused of this at some point. I could backup their data before hand but this is not only time consuming but I am then keeping hold of their private data.

""You've been viewing my private data"" - I haven't, but they may accuse me of this.

""My computer is still full of viruses"" - the truth is when I handed it back to the client it was virus free and shortly after they've downloaded more viruses and are accusing my of not doing my job properly!

""My computer is now worse"" - let's say they hand me a PC which is crumbling. I use it for an hour and something blows up (e.g power supply) and I'm accused of breaking the machine.


How best to cover myself against these points? There are many more but I can't see how I can cover everything so what's the best practice?!
I guess the only way around any of these is to cover all these points in a contract and before any work takes place the client must sign it? Is replying to an email with the contract attached sufficient/legal?
For remote work, how best to take payment? If I don't take payment before, once the PC is repaired they could cut the connection and never speak to me again. If I do take payment, they may have to do it online - if their computer is full of viruses this is not wise for obvious reasons.


Any help appreciated.

Thanks,
Ricky
","['contracts', 'legal', 'client-support']"
455,"I've had a few bad experiences where I've been paid past due, and I'm concerned about building products for clients that I'll never see a dime for.

I have some friends that get credit card information from their clients before starting work to ensure that they are paid for the time they spend on their work, but I wonder if this scares away potential clients.

Is this a good practice?  Are there other reliable ways to ensure that you get paid for the work you complete as a freelance programmer?
","['payment-terms', 'late-payment']"
456,"So I made an app for this person and he did give me 50% of the money. But the thing is he just gave me 50% of the money and put the app on the play store. Now whenever I try to contact him he says he is busy or in hospital or something. I stopped all his ad services but still isn't replying. Is there any way I can remove his app from the play store.
","['difficult-client', 'late-payment']"
457,"Is there some general rule to follow when delivering a project after the date that was agreed upon?

Let's say you have one month to prepare the project but you deliver it in six weeks. At what point you should offer some kind of compensation to keep relations good? How big should be the compensation - deduct how many percents from final price? Or what other compensation should I offer, if any?

I know this should not happen in the first place, but when it does, what are proper manners?

Thank you for your answers.
","['time-management', 'project-management']"
458,"I have finished some work for a client, he paid 50% for the work done. 
After the work was finished and delivered he failed to pay the rest 50%.

Legally there isn't much to do with it, it will end up being a waste of time because the amount was not so significant (400$). 

The project was solving his homework for a school related project. It is academic dishonesty for him and punishable by his university, possibly with warning or he will get expelled.

The client is not reachable by any means and ignores all forms of communication. There was no contract signed. 

However my client happens to be a student and I thought of turning him in to the teacher. My issue is, will I have any consequences and is it even worth it if I turn him in? 
","['payment-terms', 'payments', 'late-payment']"
459,"I am a open source developer , and i want to start free lancing work in my field. i want to know that what things to keep in mind when you are going to start your free lancing work?
",['group-freelancing']
460,"I'm a comic artist in the UK. I earn money from my website, 3rd party merchandise sales and commissions. I've recently been commissioned to draw illustrations for an international magazine. They want my VAT number and other details so they can pay me online. I don't earn much money so I've never registered for VAT. Can they pay me without a VAT number? Do I need to register my business? Do I need to pay tax? 

I'm lost so if anyone could help, I'd be very appreciative.
","['invoices', 'taxes', 'uk']"
461,"What is the best way to tell a client that your rate is non-negotiable when they ask?

I am looking for way which will not offend the client and would also ensure that I don't end up decreasing my rates.
","['payment-terms', 'price-per-hour', 'negotiation', 'difficult-client']"
462,"I currently work as a freelance writer in addition to doing a 9-5 in another field.

An opening as a full-time writer has come up, and I would like to apply. However, to get references I will almost certainly need to ask my existing editors, thus alerting them to the fact I'm applying for a full-time post with one of their competitors.

I'm not sure how to handle this. I am very unlikely to get this full time post (the competition is going to be extremely fierce), and if it's a choice between applying or keeping favour with my existing employers, I'd go with the latter every time.

Because it's going to be a competitive post, I'd like to secure an advantage by getting letters of recommendation from some of my existing clients. 

Are my editors likely to take offence if I ask for a recommendation for this full-time post? Is there anything I can do to minimise the chances of causing offence when asking?
",['referral']
